Product,Consumer complaint narrative
Mortgage,"I have had a mortgage with Bank of America for about 13 years. It has been beyond challenging every step of the way. The mortgage is in the name of the Estate of my deceased partner. Early on, I sent B of A documentation dozens of times in order for me to have access to the account allowing B of A to discuss the loan with me. Finally the last few years have been somewhat smooth as I am the only one associated with and paying this loan. I pay the mortgage on time and for the past 3 years or so have been paying an extra {$500.00} a week. Finally their system was posting the extra payments properly to principle.

B of A recently transferred my mortgage to XXXX XXXX XXXX. It should be mandatory that when a company transfers a mortgage they they transfer the mortgage with all documents and authorizations that belong to the mortgage. Bank of America did not do that. 

I called XXXX and via the automated system was able to deduce that they are not posting my {$500.00} to principle but instead to future payments. That is not the way I want it and I have the right to make extra principle payments. The problem is XXXX refuses to speak to me because they way I'm not authorized on the account. INFURIATING!! 

They say I have do dig up the past related to the death of my partner and find old documents and prove I'm authorized on the account. I'M NOT DOING IT! Bank of America has those documents and has received them more times that I want to recall. Bank of America needs to contact XXXX with the documents and then get all of the principle payments sorted out as that is impacting the amount of interest I pay. The consumer should not have to fix the problems that to big lazy institutions have created. These kinds of errors and sloppy postings could ultimately create issues that might impact my credit. I want this fixed now but B of A and XXXX."
Mortgage,"I received an unfair and very upsetting response from Bank of America regarding my payment that they debit from my account, when I made a payment on XXXX XXXXJust because I am behind on my payments that does not allow them to take more then XXXX payment without my authorization. Please investigate this case and have them credit my account XXXX payment as a courtesy due to drafting my payment for more than XXXX payment and fess from my checking account and leaving me with any money to feed my kids or gas for work and unable to pay my bills. Its was snowing that day and was scare my light was going to get cut off because I did not have the funds available to make my payment because they took all my funds from my checking. Plus they charged me NSF fees because I placed a stop on my payment and took my bank XXXX to XXXX days to clear that transaction."
Mortgage,"I fell behind with my mortgage payment during the years of XXXX and XXXX. I worked with the mortgage company, ( Bank of America ) and received a loan modification. However by the time the modification was approved, I owed Bank of America about {$14000.00}. Its roughly 5 months behind in our mortgage payment. This amount is not subject to interest or penalties. However, I was informed by the Treasury Department that bank of America received a bailout from the government for all of these modifications. I think Bank of America has received payment from the government for my {$14000.00} and they are still holding me liable for this amount. Please investigate the reason why I still see this amount on my mortgage statement every month since the modification has been approved and Bank of America collected funds from the government for mortgage modifications."
Mortgage,"Loan Modification with Bank of America with devastating results : I am a senior citizen living on a social security budget. I was unable to keep up the payments of {$1000.00} per month for about 9 months when I was given a modification with Bank of America in XXXX, XXXX, at that time I had paid three months of trial payment, I owe about XXXX for late payments and penalties before I made the trial payments. I am XXXX due to XXXX, my doctor can provide proof on my condition. BofA 's notice and instruction on how to sign the Modification Agreement was dated XXXX XXXX, XXXX but I did not receive the letter until XXXX XXXX, XXXX, the letter stated that I must return the signed agreement by XXXX XXXX XXXX, given the limited time to respond acceptance of the modification agreement, I panicked and signed the lengthy modification agreement that same day, the document was in small print but at that time I believed that the outcome could not be worse then the original modification because BofA was there to help and would be fair to consumers. Especially the fact that I have been a loyal customer with them for the past 30 plus years. 

The modification was completed in XXXX, XXXX. When I made the first payment, I then realized the loan had a principal balance of {$200000.00} instead of the original principal balance of {$140000.00}, plus a new balloon payment of {$140000.00}, and the remaining loan term of 20 plus years became 39 years. Interest remained the same as the previous modification of 2 % adjustable every few years. My monthly payment was {$100000.00} before the modification, now it is {$1000.00}. 

I called BofA several times, the first XXXX representatives were very impatient and told me I had signed the modification agreement and I was aware it was a new loan because of prior modifications, that there is nothing I can do. I was never informed that it would be a new loan, the document I signed stated it was a Modification Agreement. I was never informed of the new terms until the document for signatures was sent to me. I called BofA again in XXXX, XXXX asking them to see if someone of authority at their bank can look over my modification, because owing {$14000.00} does not warrant added principal of over {$67000.00} plus a balloon payment of over {$140000.00}. I called the XXXX program, they told me to get a break down of the charges from BofA. I asked BofA for a break down, they gave me an explanation of how the last balloon payment of about {$54000.00} plus the late mortgage and penalties was added to that first deferred balloon payment and moved to the original principal, making the upfront principal over {$200.00}. But the break down of the new balloon payment of XXXX is not available to me. They would not or could not give that break down to me. 

I have paid 14 years into the home since XXXX, I do not want to prolong the terms to another 39 years, I can not live that long and I do not want to leave a mess for my children to handle. Now the property is under water because of the added principal and new balloon payment, the market value is only about {$320000.00}, now I owe more than {$350000.00} - more than {$200000.00} in debt than what I owe a few months ago. I am in poor health, I can not handle the stress to be in a worse financial situation than before and to have all my hard earned equity wiped out. I feel like I walked into a trap of disguise that BofA was there to help. I want to receive proof that Bank of America is the owner of my mortgage debt, I want to receive a written break down of how the increased principal and the balloon payment are consist of, I want to reverse the modification or amend it to a reasonable amount based on the nine months ' late payment and late fees."
Mortgage,"We had a Mortgage with Bank of America and in XXXX we negotiated a short-sale with them and had a cash buyer for {$130.00}. We had submitted all the hardship letters, bank statement etc to the bank and everything was agreed for the short sale to proceed. Bank of America in their efforts to close this sale took myself and husband off the Title - we never signed anything with them to do this. There was a problem with the Title and the cash buyer we had walked away from the property after waiting for 6 months to get possession of the property. We were notified via a Court document that we no longer had any legal rights to the property Because of this we were unable to do another short-sale or anything with the property. We spent many frustrating hours on the phone with Bank of America trying to get this matter rectified. We spoke to every department sent letters and emails to no avail. I spoke to deed in lieu department and they told me I could not do a deed in lieu because we were not on the title. 

In XXXX our loan was sold to XXXX XXXX XXXX. They contacted us to find out what was going on with the mortgage. I explained the situation to them. They said they would look into the matter and see if we could do a deed in lieu. I asked the representative that I was working with if there were be any consequences in doing this with them and he said no they would just take the property back and we would be done with it. I heard back from XXXX XXXX stating that their attorney came back with the title report and advised that myself and my husband were not on the title to the home. There was a court ruling that took our names off the title back in XXXX - as stated above we never signed any court documents with Bank of America. XXXX XXXX also states that the previous servicer, however, never released the lien and reported the transfer complete. They stated that we did not have to sign any further documentation with them. 

Our credit report were severally affected by all of this and I asked XXXX XXXX if they could clear our credit reports. Their reply was there may be a way to have the credit reporting fixed so the loan does not show up after you and your husband were taken off the title in XXXX. They asked us to draft a letter giving an overview of the situation starting with our hardship up to dealing with the Bank of America and trying to get this sorted out. They said once they received this letter, my supervisor and I will take it to our Vice President and get working on fixing the credit. They did fix our credit. Clearly they could see from the documentation sent to them that we had a case. 

I received a XXXX stating that we were personally liable for {$140000.00} which I am now expected to pay taxes on. I sent an email to the person I have been dealing with at XXXX XXXX on XX/XX/XXXX stating that my understanding was that after talking to you that this debt would be forgiven once you cleaned up the title. I asked him at the time we spoke on the phone what were the repercussions of you taking this property back and itw as stated that there would be none "" we will take it back and it will just go away. It was never disclosed to me that we would be personally liable for the debt. 

I have left 3 messages for XXXX XXXX to call me back and none of my calls have been returned nor do I have an answer on my email that I sent on XX/XX/XXXX. 

I called XXXX XXXX customer service division today and spent an hour on the phone with various people all stating that they can do nothing about this. How can we be personally liable for a debt when we do not own the house? We had a clear agreement with the Bank of America back in XXXX for a short-sale that they messed up - and they took us off the title leaving us with no recourse. 

I do not know who owned the house after Bank of America took us off the title or why they could not complete the short-sale but I do not believe we are personally liable for anything on a property we did not own"
Mortgage,"On XX/XX/2020 I received a letter from Bank of America confirming my payment postponement ( Forbearance plan re : covid 19 ) for my home loan # XXXX until XX/XX/2020. 
I received a bill in XXXX stating that payment was due for XX/XX/2020. I called customer service who told me that sometimes the bill crosses in the mail as the forbearance letter is issued. She confirmed that the loan was postponed and the next payment is due XX/XX/2020. 
Today I received a bill stating {$4100.00}, I am 47 days delinquent and if my account is not brought current to include fees my home was in jeopardy of going into foreclosure. 
Please confirm the bill dated XX/XX/2020 is incorrect. Please confirm my account reflects the correct information regarding the forbearance. Confirm that this is not inaccurately reported to the credit reporting agencies as past due."
Mortgage,"Every day I receive harassing phone calls from Bank of America, Collections Dept. regarding when I will send in my mortgage payment. According to my mortgage agreement my payment is due the first of each month and late after XX/XX/XXXX. I make the payment between the XXXX - XXXX of each month. I want all harassing calls from BoA to stop now!"
Mortgage,"After losing my job in 2010, I applied to my mortgage holder Bank of America for a modification of my existing mortgage. After months of applications, I finally received a letter from BOA denying my modification because, to my surprise, I was informed, by BOA, in writing, that my mortgage was paid in full. 
Naturally, I immediately called their Customer Service Department and was given the run around that denied the validity of the letter they sent me. However, they refused to send me a letter in writing denying the letter 's validity. I have been informed in the past that when financial institutions make similar 'mistakes ', the institutions themselves are responsible and must suffer the loss."
Mortgage,"In XX/XX/XXXX I had a home mortgage with Bank of America ( {$300000.00} ). In XX/XX/XXXX, I filed for bankruptcy. At this time, BOA sold this mortgage to XXXX. I had this mortgage re-certified with XXXX during the bankruptcy. Never missed ANY payments, loan was never in default either with BOA or XXXX. In XXXX of XXXX, BOA filed or claimed that my mortgage was delinquent and in collections at the sum of {$330000.00}? This information is reflected on my XXXX credit report as a "" Collection Account ''. This false information affects my credit status, my credit score and is incorrect. I believe BOA filed my old mortgage, with ( fraud ) the government and reported my mortgage to the Feds to be reimbursed under the banking "" bailout '' policies at the time. I need to have this discrepancy removed from my credit file and BOA needs to be investigated for fraud."
Mortgage,"Started in XXXX when I purchased my XXXX home. In late XXXX XXXX I lost my job. I made every attempt to get help with my mortgage from Bank of America with no luck. XXXX I filed for bankruptcy in attempt to get out from under the house. It was discharged early in XXXX. Late in XXXX Bank of America took possession of the house with no notice or warning and did not foreclose on the property. I thought this was a normal course of action as this was my XXXX home and bankruptcy. Fast forward to late XXXX I am served with a summons to appear in court for HOA Fees on the home that I had n't been in for over 4 years. I tell the HOA there must be some mistake since the bank owns the home. They said contact the bank. I contact Bank of America and they apologize for locking me out and provide the key code so that I can move back in. They say that they will work with me to modify the mortgage after I move back into the property. Once I moved into the property they served me with foreclosure paperwork. At the mediation I asked for modification, cash for keys, or deed in lieu. They denied all of those things. They continually give me the run around. 
I forgot to mention that not long before the lock out there was a tornado in my area that caused damage to the roof and siding. My insurance cut a check but I never got the repairs since I was locked out. Now I ca n't get insurance on the property until the repairs are made and the insurance will not cut another check. Also, under Bank of Americas watch several pipes burst and caused damage to the home and possible mold. 
So now I have this house in my name that I ca n't do anything with and is causing me more and more money at every turn. I ca n't sell it due to the HOA liens that BOA refuses to help with."
